id,title,company,company_about,company_url,location,job_level,type,arrangement,salary,education_level,visa_eligible,visa_pathways,skill_assessment,employer_sponsored,posted,closes,skills,summary,day_to_day,daily_skills,company_values,career_advancement,description,apply_url
1,Graduate Software Engineer,Culture Amp,People-analytics platform used by millions of employees worldwide.,https://www.cultureamp.com,"Cremorne, Melbourne VIC",Graduate,Full-time,Hybrid,"$85,000–$95,000",Bachelor's (can apply in your final year),485|500,189|190|186,ACS (261313 Software Engineer),yes,2026-06-20,2026-08-15,Software|Backend|Python|React,Build and ship product features across a Python and React stack.,"Pair with a senior engineer, pick up a ticket, write and review code, and deploy small changes to production most days.",Python|React|Problem solving|Code review|Communication,Trust & transparency|Learning|Inclusion,Grow from Graduate to Software Engineer II within ~18 months with a dedicated mentor and clear progression framework.,"A full-time graduate role for a recent STEM graduate. Ship real features from your first fortnight with regular pairing and mentorship. Culture Amp offers employer-sponsored visas and the skilled work supports a 189, 190 or 186 pathway.",https://www.cultureamp.com/careers
2,Data Engineering Intern,Zeller,Payments and financial tools for thousands of Australian businesses.,https://www.zeller.co,"Richmond, Melbourne VIC",Internship,Internship,Hybrid,$38/hr,Currently studying (no degree required yet),500|485,485,ACS (261399 Software and Applications Programmer),no,2026-06-25,2026-09-01,Data|Engineering|SQL|Cloud,Build and maintain data pipelines that move payment data reliably.,"Write SQL, wire up a pipeline step, check data quality, and share progress in a short standup.",SQL|Python|Data modelling|Attention to detail|Curiosity,Customer obsession|Ownership|Simplicity,Convert to a part-time or graduate role after a strong internship and build toward a 485 application.,A paid internship suited to students within their study work-hour limits. Gain the local experience that strengthens a later 485 graduate application.,https://www.zeller.co/careers
3,Junior Data Analyst,Airwallex,Global payments fintech and one of Australia's fastest-growing startups.,https://www.airwallex.com,Melbourne CBD VIC,Junior,Full-time,On-site,"$75,000–$85,000",Bachelor's degree,485,189|190,VETASSESS,yes,2026-06-18,2026-07-30,Data|Analytics|SQL,Turn global payment data into clear answers for product and operations.,"Pull data with SQL, build a dashboard, and present one insight to a product or ops team.",SQL|Dashboards|Statistics|Storytelling|Stakeholder management,Move fast|Ownership|Global mindset,"Progress to Analyst then Senior Analyst, or specialise into data science as the team scales.",SQL and curiosity matter more than years of experience. Employer sponsorship is available and skilled work counts toward a 189 or 190 pathway.,https://www.airwallex.com/careers
4,Frontend Engineer,Linktree,The link-in-bio platform used by millions of creators.,https://linktr.ee,"Collingwood, Melbourne VIC",Graduate,Full-time,Hybrid,"$80,000–$92,000",Bachelor's (or equivalent experience),485|500,189|190|186,ACS (261312 Developer Programmer),yes,2026-06-22,2026-08-20,Software|Frontend|React|TypeScript,"Ship accessible, high-quality UI to a shared design system.","Build a component, test it for accessibility, review a teammate's PR, and demo work at the end of the day.",React|TypeScript|CSS|Accessibility|Collaboration,Creativity|Craft|Community,Grow into a senior frontend or design-systems specialist with mentorship and conference budget.,Ideal for a graduate ready to grow. Sponsorship available; the role supports an ACS assessment for 261312 and a skilled-migration pathway.,https://linktr.ee/s/careers/
5,Machine Learning Intern,Eucalyptus,Healthtech startup reaching hundreds of thousands of patients.,https://eucalyptus.health,"Southbank, Melbourne VIC",Internship,Internship,Hybrid,$40/hr,Currently studying (Master's or final-year Bachelor's),500|485,485,ACS (261314 Software Tester),no,2026-06-28,2026-09-10,AI|Machine Learning|Python,Prototype and evaluate machine-learning models on real product data.,"Clean a dataset, train a model, review results with your lead, and log an experiment.",Python|Machine learning|Statistics|Experimentation|Communication,Patients first|Rigour|Speed,Extend into a graduate ML or data-science role and publish internal research.,A paid internship to build a portfolio that supports a future 485 graduate visa.,https://eucalyptus.health/careers/
6,DevOps Engineer,Immutable,Leading web3 gaming platform building at global scale.,https://www.immutable.com,Melbourne CBD VIC,Mid-level,Full-time,Remote,"$90,000–$105,000",Bachelor's degree,485,189|190|482|186,ACS (263111 Computer Network and Systems Engineer),yes,2026-06-21,2026-08-30,Software|DevOps|AWS|Terraform,Keep infrastructure reliable and automate the path to production.,"Improve a CI/CD pipeline, respond to an alert, write some Terraform, and pair on a reliability fix.",AWS|Terraform|CI/CD|Linux|Incident response,Ownership|Craft|Ambition,Move toward Senior DevOps or Platform Engineering as the platform grows.,"Employer-sponsored role; the company can discuss 482 then 186, and the work maps to ACS occupation 263111.",https://www.immutable.com/careers
7,Backend Developer,MYOB,Accounting software powering over one million ANZ businesses.,https://www.myob.com,"Cremorne, Melbourne VIC",Junior,Full-time,Hybrid,"$85,000–$98,000",Bachelor's degree,485,189|190|186,ACS (261313 Software Engineer),no,2026-06-19,2026-08-05,Software|Backend|Java|Go,Build and maintain backend services that businesses rely on daily.,"Implement an API endpoint, write tests, review a PR, and join a design discussion.",Java|Go|APIs|Testing|Teamwork,Reliability|Customer focus|Growth,Progress from Junior to Software Engineer with a structured capability framework.,"Skilled work toward a 189, 190 or 186 pathway. Not actively interviewing this week, but applications are reviewed for upcoming rounds.",https://www.myob.com/au/about/careers
8,Product Analyst,Mr Yum,Hospitality-tech startup for ordering and payments.,https://www.mryum.com,"Fitzroy, Melbourne VIC",Graduate,Full-time,On-site,"$72,000–$82,000",Bachelor's (can apply in your final year),485|500,189|190,VETASSESS,no,2026-06-30,2026-09-15,Product|Analytics|Data,Measure how features perform and help shape the product roadmap.,"Define a metric, analyse a feature launch, and share a recommendation with product managers.",SQL|Analytics|Product sense|Communication|Prioritisation,Hospitality at heart|Curiosity|Impact,Grow into a Senior Product Analyst or move into product management.,A full-time graduate role that builds skilled experience toward general skilled migration.,https://www.mryum.com/careers
9,QA Engineering Intern,Deputy,Workforce-management software used around the world.,https://www.deputy.com,Melbourne CBD VIC,Internship,Internship,Hybrid,$36/hr,Currently studying (no degree required yet),500|485,485,ACS (261314 Software Tester),no,2026-06-16,2026-07-28,Software|QA|Testing|Automation,Help ship reliable software by testing features and automating checks.,"Write a test case, automate a check, file a clear bug, and verify a fix with an engineer.",Test automation|Attention to detail|Scripting|Communication|Persistence,Simplicity|Teamwork|Customer focus,Move into a graduate QA or software engineering role with mentoring.,A paid internship that builds local STEM experience toward a 485 graduate application.,https://www.deputy.com/careers
10,Cloud Support Engineer,Sine,Workplace-tech startup for visitor and contractor management.,https://www.sine.co,"Hawthorn, Melbourne VIC",Junior,Contract,Hybrid,"$70,000–$80,000",Certificate or Bachelor's,485,189|190|482,ACS (263111 Computer Network and Systems Engineer),yes,2026-06-27,2026-09-20,Software|Cloud|Support|AWS,Keep cloud infrastructure healthy and help customers stay unblocked.,"Triage a support ticket, investigate logs in AWS, fix a config, and document the resolution.",AWS|Troubleshooting|Networking|Customer support|Documentation,Reliability|Helpfulness|Ownership,Convert from contract to permanent and grow toward a cloud or DevOps engineering role.,A 6-month contract with a strong chance of extension. Sponsorship can be discussed; skilled work counts toward a 189 or 190 pathway.,https://www.sine.co/careers
